ANEXO I – ÁREAS DE TARIFAÇÃO DO STFC;;;;
ÁREA TARIFÁRIA 011: SAO PAULO (LATITUDE: 23º32’51” S LONGITUDE: 46º38’10”);;;;
SP;IBATE;11261;;IBE
SP;IBITINGA;11264;;IYG
SP;ITAPOLIS;11296;;IAL
SP;MATAO;11369;;MOM
SP;MOTUCA;11712;;MKC
SP;NOVA EUROPA;11409;;NEU
SP;RIBEIRAO BONITO;11524;;RBB
SP;RINCAO;11533;;RNO
SP;SANTA ERNESTINA;11619;;SEW
SP;SANTA LUCIA;11625;;SNL
SP;SAO CARLOS;11551;;SCL
SP;TABATINGA;11643;;TBT
SP;TAQUARITINGA;11656;;TGA
SP;TRABIJU;11718;;TRAB
ÁREA TARIFÁRIA 163: JABOTICABAL (LATITUDE: 21º15’17” S LONGITUDE: 48º19’20”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;GUARIBA;11254;;GIB
SP;JABOTICABAL;11310;;JAL
SP;MONTE ALTO;11388;;MNT
SP;TAIACU;11647;;TAA
SP;TAIUVA;11648;;TAV
SP;VISTA ALEGRE DO ALTO;11699;;VSG
ÁREA TARIFÁRIA 166: RIBEIRAO PRETO (LATITUDE: 21º10’39” S LONGITUDE: 47º48’37”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALTINOPOLIS;12126;;ANP
SP;BARRINHA;11070;;BRH
SP;BATATAIS;12130;;BAT
SP;BRODOWSKI;12131;;BRQ
SP;CAJURU;12133;;CJU
SP;CASSIA DOS COQUEIROS;12135;;CSQ
SP;CRAVINHOS;11177;;CVH
SP;DUMONT;11195;;DUT
SP;GUATAPARA;11869;;GTP
SP;JARDINOPOLIS;12143;;JRI
SP;LUIS ANTONIO;11889;;LST
SP;PITANGUEIRAS;11485;;PTG
SP;PONTAL;11492;;PTL
SP;PRADOPOLIS;11501;;PDI
SP;RIBEIRAO PRETO;11529;;RPO
SP;SANTA CRUZ DA ESPERANCA;11738;;SCES
SP;SANTA ROSA DE VITERBO;11631;;SRV
SP;SANTO ANTONIO DA ALEGRIA;12153;;SLR
SP;SAO SIMAO;11576;;SOM
SP;SERRA AZUL;11596;;SRZ
SP;SERRANA;11598;;SRA
SP;SERTAOZINHO;11599;;STZ
SP;TAQUARAL;11653;;TAQL
ÁREA TARIFÁRIA 167: FRANCA (LATITUDE: 20º32’19” S LONGITUDE: 47º24’03”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ARAMINA;12129;;AMX
SP;BURITIZAL;12132;;BZL
SP;CRISTAIS PAULISTA;11178;;CVT
SP;FRANCA;11226;;FAC
SP;IGARAPAVA;11270;;IPV
SP;ITIRAPUA;11306;;IYR
SP;JERIQUARA;11753;;JRQ
SP;PATROCINIO PAULISTA;11449;;PCP
SP;PEDREGULHO;12149;;PGL
SP;RESTINGA;11523;;RTG
SP;RIBEIRAO CORRENTE;12150;;RRC
SP;RIFAINA;12151;;RFA
SP;SAO JOSE DA BELA VISTA;11558;;SBV
ÁREA TARIFÁRIA 168: SAO JOAQUIM DA BARRA (LATITUDE: 20º34’53” S LONGITUDE: 47º51’17”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;GUARA;12139;;GUA
SP;IPUA;12141;;IWA
SP;ITUVERAVA;12142;;IVR
SP;MIGUELOPOLIS;12145;;MGL
SP;MORRO AGUDO;12146;;MGD
SP;NUPORANGA;12147;;NUA
SP;ORLANDIA;12148;;OIA
SP;SALES OLIVEIRA;12152;;SSI
SP;SAO JOAQUIM DA BARRA;12155;;SQB
ÁREA TARIFÁRIA 172: SAO JOSE DO RIO PRETO (LATITUDE: 20º49’11” S LONGITUDE: 49º22’46”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ADOLFO;11002;;AOF
SP;ALTAIR;11013;;ATI
SP;BADY BASSITT;11060;;BYT
SP;BALSAMO;11062;;BLO
SP;CEDRAL;11158;;CEX
SP;GUAPIACU;11243;;GPI
SP;GUARACI;11246;;GCI
SP;ICEM;11267;;ICE
